Species	Analyses	HPD2.5%	median	HPD%97.5
A. bolivianus	DILS – Optimized Posterior	84673.0886455104	95417.1854934711	107126.671146961
C. gutturata	DILS – Optimized Posterior	150903.808838919	161455.871805292	173331.514749338
C. vulpecula	DILS – Optimized Posterior	15769.6844127947	18612.6208366999	21939.03034845
F. minor	DILS – Optimized Posterior	27906.2801928445	32213.9856633247	36746.6124026432
K. o. sclateri	DILS – Optimized Posterior	24088.6833942978	28454.0084662653	33368.7833588946
M. propinqua	DILS – Optimized Posterior	38286.8065130652	43892.8718595181	50207.3620113087
M. flavivertex	DILS – Optimized Posterior	202537.546320593	218799.584857848	235126.926545403
N. longirostris	DILS – Optimized Posterior	123446.581023899	135090.561215333	147452.347991238
S. napensis	DILS – Optimized Posterior	22812.1909975743	25759.1786903867	29099.8478207229
A. bolivianus	DILS – Posterior	82989.7715898657	96224.5676092082	113984.003685522
C. gutturata	DILS – Posterior	137915.777992671	153852.343482564	177608.866091925
C. vulpecula	DILS – Posterior	6966.05429277653	28001.4268234939	104862.918611828
F. minor	DILS – Posterior	25515.6255469774	29360.7420355268	34006.646994447
K. o. sclateri	DILS – Posterior	18093.3139309631	26522.8826146012	39125.0514943378
M. propinqua	DILS – Posterior	35625.1455185122	47938.597865823	65860.8629956652
M. flavivertex	DILS – Posterior	256533.326850402	318519.513775218	388041.897522811
N. longirostris	DILS – Posterior	99379.4532736842	170892.168892445	263140.66795125
S. napensis	DILS – Posterior	19079.8535808123	25362.4072136062	34686.9040836934
A. bolivianus	Ecoevolity	74638.7803866379	108022.683649352	166902.385285518
C. gutturata	Ecoevolity	195061.57852076	200495.648291688	206338.915734883
C. vulpecula	Ecoevolity	16929.9070124804	19069.8627896053	22662.4739719891
F. minor	Ecoevolity	29599.0777767363	31568.8195688596	58659.1312692441
K. o. sclateri	Ecoevolity	30384.8430172301	31383.2556161982	32528.1839409512
M. propinqua	Ecoevolity	24961.8594410436	31370.9718288631	33546.7986581223
M. flavivertex	Ecoevolity	207725.972775319	213738.5149628	220305.993379675
N. longirostris	Ecoevolity	250055.293707901	254956.673761922	259495.276873462
S. napensis	Ecoevolity	30378.4481615883	31371.8029081859	32427.4500242029
