generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1859	0	10	0.188679	none	
ConcentrationScaler	315	253	3	0.0566038	1.79138	
TimeSizeRateMixer	2030	5484	6	0.113208	0.0254015	
TimeRootSizeMixer	2437	4696	6	0.113208	0.0379548	
EventTimeScaler	10021	18402	1	0.0188679	0.06115	
MutationRateScaler0	675	1734	1	0.0188679	0.043831	
RootPopulationSizeScaler0	885	1507	1	0.0188679	0.0621928	
LeafPopulationSizeScaler0	945	1440	1	0.0188679	0.0448315	
MutationRateScaler1	65	2318	1	0.0188679	0.0231161	
RootPopulationSizeScaler1	638	1742	1	0.0188679	0.0843991	
LeafPopulationSizeScaler1	87	2282	1	0.0188679	0.0129363	
MutationRateScaler2	644	1741	1	0.0188679	0.0548312	
RootPopulationSizeScaler2	802	1589	1	0.0188679	0.0772108	
LeafPopulationSizeScaler2	846	1554	1	0.0188679	0.0583354	
MutationRateScaler3	696	1698	1	0.0188679	0.0571096	
RootPopulationSizeScaler3	988	1401	1	0.0188679	0.0701513	
LeafPopulationSizeScaler3	1037	1334	1	0.0188679	0.0644019	
MutationRateScaler4	397	1988	1	0.0188679	0.0476969	
RootPopulationSizeScaler4	644	1742	1	0.0188679	0.0645946	
LeafPopulationSizeScaler4	628	1766	1	0.0188679	0.0381582	
MutationRateScaler5	589	1823	1	0.0188679	0.052777	
RootPopulationSizeScaler5	769	1630	1	0.0188679	0.069221	
LeafPopulationSizeScaler5	913	1475	1	0.0188679	0.0506081	
MutationRateScaler6	54	2328	1	0.0188679	0.0259323	
RootPopulationSizeScaler6	668	1710	1	0.0188679	0.053099	
LeafPopulationSizeScaler6	149	2208	1	0.0188679	0.00803238	
MutationRateScaler7	8	2380	1	0.0188679	0.0173568	
RootPopulationSizeScaler7	627	1744	1	0.0188679	0.0685505	
LeafPopulationSizeScaler7	33	2353	1	0.0188679	0.00950196	
MutationRateScaler8	327	2036	1	0.0188679	0.0437547	
RootPopulationSizeScaler8	660	1712	1	0.0188679	0.0645585	
LeafPopulationSizeScaler8	594	1807	1	0.0188679	0.0215682	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3722	0	10	0.188679	none	
ConcentrationScaler	609	560	3	0.0566038	1.84506	
TimeSizeRateMixer	4682	10902	6	0.113208	0.0233192	
TimeRootSizeMixer	5188	9569	6	0.113208	0.0359571	
EventTimeScaler	22159	36451	1	0.0188679	0.0592897	
MutationRateScaler0	1455	3350	1	0.0188679	0.0406093	
RootPopulationSizeScaler0	1888	2917	1	0.0188679	0.0612268	
LeafPopulationSizeScaler0	1970	2814	1	0.0188679	0.0442848	
MutationRateScaler1	135	4638	1	0.0188679	0.0173589	
RootPopulationSizeScaler1	1439	3342	1	0.0188679	0.0782679	
