generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_Att_bol	ln_likelihood_Att_bol	ln_prior_Att_bol	root_height_Att_bol	mutation_rate_Att_bol	freq_1_Att_bol	pop_size_Att_bol	pop_size_root_Att_bol	root_height_index_Cra_gut	ln_likelihood_Cra_gut	ln_prior_Cra_gut	root_height_Cra_gut	mutation_rate_Cra_gut	freq_1_Cra_gut	pop_size_Cra_gut	pop_size_root_Cra_gut	root_height_index_Cra_vul	ln_likelihood_Cra_vul	ln_prior_Cra_vul	root_height_Cra_vul	mutation_rate_Cra_vul	freq_1_Cra_vul	pop_size_Cra_vul	pop_size_root_Cra_vul	root_height_index_Fur_min	ln_likelihood_Fur_min	ln_prior_Fur_min	root_height_Fur_min	mutation_rate_Fur_min	freq_1_Fur_min	pop_size_Fur_min	pop_size_root_Fur_min	root_height_index_Kni_ore	ln_likelihood_Kni_ore	ln_prior_Kni_ore	root_height_Kni_ore	mutation_rate_Kni_ore	freq_1_Kni_ore	pop_size_Kni_ore	pop_size_root_Kni_ore	root_height_index_Maz_pro	ln_likelihood_Maz_pro	ln_prior_Maz_pro	root_height_Maz_pro	mutation_rate_Maz_pro	freq_1_Maz_pro	pop_size_Maz_pro	pop_size_root_Maz_pro	root_height_index_Myi_fla	ln_likelihood_Myi_fla	ln_prior_Myi_fla	root_height_Myi_fla	mutation_rate_Myi_fla	freq_1_Myi_fla	pop_size_Myi_fla	pop_size_root_Myi_fla	root_height_index_Nas_lon	ln_likelihood_Nas_lon	ln_prior_Nas_lon	root_height_Nas_lon	mutation_rate_Nas_lon	freq_1_Nas_lon	pop_size_Nas_lon	pop_size_root_Nas_lon	root_height_index_Sti_nap	ln_likelihood_Sti_nap	ln_prior_Sti_nap	root_height_Sti_nap	mutation_rate_Sti_nap	freq_1_Sti_nap	pop_size_Sti_nap	pop_size_root_Sti_nap
0	-15133360.4252290577	-77.5889135396733423	9	14.9725911984617017	0	-1095250.50503182621	5.21560859875577698	420990.881192326895	2.50000000000000005e-09	0.5	500000	500000	1	-1535011.90458257846	5.21560859875577698	220174.091567418771	2.50000000000000005e-09	0.5	500000	500000	2	-1508685.43896043766	5.21560859875577698	358287.456814591016	2.50000000000000005e-09	0.5	500000	500000	3	-1398684.45939309476	5.21560859875577698	419874.285041996569	2.50000000000000005e-09	0.5	500000	500000	4	-1316952.65794194606	5.21560859875577698	263188.37185540545	2.50000000000000005e-09	0.5	500000	500000	5	-1447944.38039026503	5.21560859875577698	348425.979736267065	2.50000000000000005e-09	0.5	500000	500000	6	-2168292.23529640585	5.21560859875577698	183674.74896280875	2.50000000000000005e-09	0.5	500000	500000	7	-3190903.94973807316	5.21560859875577698	393341.519665921922	2.50000000000000005e-09	0.5	500000	500000	8	-1471634.89389442978	5.21560859875577698	134047.0489573917	2.50000000000000005e-09	0.5	500000	500000
100	-15020099.0798625089	-52.1975910583803113	7	11.8718342222586291	0	-1090593.235527304	5.61118703483083614	216370.154106493312	1.54602673176886349e-09	0.5	578193.740008447785	349472.764587516896	1	-1530897.22845366062	5.70593954731564779	305473.445506561373	2.24594806629831213e-09	0.5	674764.740641192184	343906.705307841068	2	-1489958.63132054685	5.57311640138711262	34861.3974167597698	1.51208384994651802e-09	0.5	337286.911983027065	216704.209223666228	2	-1384345.20210787212	5.63869460431430802	34861.3974167597698	1.59990495766406924e-09	0.5	412080.00914807379	237734.724107092305	3	-1309671.62712578336	5.69557576175652081	134330.861925722711	1.63202030881615426e-09	0.5	485722.174784108065	252591.480546428123	4	-1433556.47831420903	5.67307586883981507	82639.9027077909268	1.50251109163051455e-09	0.5	367678.49821385392	199477.619367363484	1	-2162051.51269423263	5.7791416225689094	305473.445506561373	2.28384569677431201e-09	0.5	918944.804940351867	401089.060294945608	5	-3156603.58064489532	5.65735788414903595	166207.141908213613	3.43700753396798774e-09	0.5	787067.462541013374	439380.973407235346	6	-1462421.5836740064	5.69330643889661125	99080.1188434722571	1.51400614921619781e-09	0.5	546155.210034692893	285258.045819456456
200	-14986280.0745429248	-48.9942989682870262	7	8.17368317216614493	0	-1089874.41438677046	5.91140910105779582	198439.8638631957	1.6745596432848799e-09	0.5	726692.075342731085	221059.364300361922	1	-1525425.62970848498	6.12383215407519366	231546.902029550372	3.23809809037799071e-09	0.5	995203.674659465672	91336.2549932969559	2	-1488658.12751377234	5.91618386514068639	59776.7587100565215	1.55801305351552962e-09	0.5	354619.167820559349	106181.749859476098	3	-1383304.52588592703	5.81200431768469095	83452.8035515392548	1.51323898375274167e-09	0.5	349701.570420311706	141141.050918919413	3	-1309065.34072540142	5.96916332102561675	83452.8035515392548	1.96064795227802978e-09	0.5	690003.869364608545	170048.195220445574	4	-1432793.94631437724	6.00176887583036489	74319.5417035711871	1.79389873590114238e-09	0.5	490433.039979763213	104874.06538273982	5	-2159309.92282371502	6.01971937105643562	278261.431243325293	2.97780510142307177e-09	0.5	983071.277662245673	192573.073354661959	1	-3136629.92399913445	6.08272491992386044	231546.902029550372	3.46156693865023861e-09	0.5	994720.047570936033	132182.059329084645	6	-1461218.24318534182	5.95590663196207082	86429.7192275104171	1.77667011220245265e-09	0.5	722309.577051305445	187585.217794154538
300	-14983877.0520021487	-48.5761739162744348	7	11.6003267689084772	0	-1089759.35973019572	6.0028166287142497	159845.647911404725	1.82104042001539668e-09	0.5	845514.905250194366	179918.782387663872	1	-1525275.74231505115	6.12687768263529442	205732.748986254592	3.48128138166514988e-09	0.5	999634.795653147856	88698.5112042149412	2	-1488179.18272507703	6.07703367757045321	49245.9357073921419	1.73228914588277939e-09	0.5	608156.680362568004	84275.2640495710657	3	-1383080.14786243392	6.02519130295372385	105253.982324021257	1.77175120068180794e-09	0.5	385844.319575496076	73471.4319341492956	4	-1308911.8975974503	6.04516913785761645	63959.151560444574	2.1230043303902219e-09	0.5	977249.333830460906	166561.84962115105	2	-1432650.73838210385	6.08118149750962722	49245.9357073921419	1.8722759109589222e-09	0.5	796514.904524685349	107073.189714607448	5	-2158953.54036063934	6.05460386545052387	217702.86686880968	3.4439986651656531e-09	0.5	981864.920348952757	158084.899642566364	6	-3136366.44023153791	6.11790808444554557	254224.644817183376	3.49200499710668008e-09	0.5	986049.571159577812	96337.5502376735385	4	-1460700.00279765925	6.07941895007914113	63959.151560444574	2.08976879437688114e-09	0.5	996063.83316911885	135653.583498805674
400	-14983174.8549182732	-70.3209667449727078	9	7.03310640115932006	0	-1089760.47434059065	6.00616791525650306	155094.317645091971	1.88791785582997141e-09	0.5	808882.953603630653	169412.998673656228	1	-1525267.6927608659	6.12887988996264887	200378.389761962666	3.49746414786983592e-09	0.5	999634.795653147856	86697.0350916791649	2	-1488073.63545306632	6.12033357651873366	45519.63921343533	1.56068185571522495e-09	0.5	968083.27095103194	92234.1551671683701	3	-1383035.71100644092	6.0598170844369772	81149.4378078053705	1.80155085505556465e-09	0.5	503295.064991677995	78409.1003242320439	4	-1308906.43501288607	6.05128444959283485	63828.7124638030436	2.1243774671176612e-09	0.5	996264.111778601771	163710.252509593498	5	-1432641.53117366112	6.09747585961774341	52608.1811384354078	1.74314308446917404e-09	0.5	954161.000411746325	112717.652557326175	6	-2158914.91766551416	6.06191649463492155	220095.31575538154	3.46973137643181882e-09	0.5	999760.408286938909	153655.280766344338	7	-3135911.1769774775	6.12150521026480732	258062.66838657629	3.4897873029019607e-09	0.5	999124.313223290141	94020.9833980242111	8	-1460663.28052776936	6.08876736885042824	55845.4242953703797	2.28343221072344137e-09	0.5	982790.259934397298	124658.325309076477
500	-14983045.3736578003	-59.594015689764575	8	17.499129257158387	0	-1089759.87836635625	6.00692985468545615	151957.097782731493	1.69193086383136936e-09	0.5	985493.971521553234	205651.644265990355	1	-1525267.08697927836	6.12837295542880334	202018.013820237917	3.49746414786983592e-09	0.5	999634.795653147856	87203.7844908293482	2	-1488063.84441107232	6.13414356334600974	45225.0901318086471	1.73159157447316526e-09	0.5	969538.064995163353	78983.4527959483821	3	-1383022.73511712067	6.08203168533508176	71428.0277483606478	1.82866128101116407e-09	0.5	600382.711414920515	80197.2694619526592	4	-1308898.22612170479	6.057109202516747	58793.2391600794945	2.22221870388284887e-09	0.5	994428.717481136206	157616.35132351279	5	-1432639.64696018165	6.09511858689790031	49682.0993139311977	1.80346633316138625e-09	0.5	930635.742278386955	112132.311622486755	6	-2158907.14727410162	6.0571057055758839	216419.951870540041	3.4829305889205893e-09	0.5	999991.856390371104	158501.602394205489	7	-3135858.9315154152	6.12110843448372499	252420.701987109816	3.49356512535171809e-09	0.5	999520.454105928424	94454.8471062853932	5	-1460627.876912568	6.09862045594283408	49682.0993139311977	2.46270665740863513e-09	0.5	994585.408574869856	116354.699818025503
600	-14982981.3397924043	-48.8730940216734169	7	14.9466513259956901	0	-1089758.29941383353	6.01324080177447229	162759.163897361141	1.72641732304644971e-09	0.5	950181.25774543942	192286.087862869404	1	-1525267.13447754947	6.12751452967456345	203084.53260306202	3.49746414786983592e-09	0.5	999634.795653147856	88061.8967442533758	2	-1488044.70984560857	6.14110073568078363	35992.8202061597767	1.91881868778425523e-09	0.5	948464.770305266255	70668.0832373599842	3	-1383015.1400674535	6.09728997428568498	55602.5713161341482	1.9556304141030563e-09	0.5	674199.644642131752	79770.3745722821914	3	-1308890.12892841711	6.06384479358396433	55602.5713161341482	2.33055308749177982e-09	0.5	997940.358485590084	151451.226138295082	4	-1432637.48970129504	6.10292304607687797	44410.5596574377705	1.93483948083804198e-09	0.5	933181.400477422751	105156.061862467002	5	-2158907.88015550328	6.05381455790357315	209223.189306461834	3.48718083547745738e-09	0.5	999786.459784087259	161759.491317786858	6	-3135858.55132208718	6.1186386339800265	253485.944961330213	3.49356512535171809e-09	0.5	999520.454105928424	96923.4632272939925	4	-1460602.00588065526	6.10547526512517003	44410.5596574377705	2.72111176338853618e-09	0.5	974599.947461032891	107335.941170097634
700	-14982944.6029846948	-70.0499667644189827	9	21.4623433329463538	0	-1089758.29617964802	6.01341178635130547	151011.784719305491	1.8504413526621655e-09	0.5	889139.678063423024	179781.20868676278	1	-1525267.52079258417	6.12700209853697686	203661.671404617693	3.49746414786983592e-09	0.5	999634.795653147856	88574.1407397603762	2	-1488041.69314904837	6.1427916646353502	36221.1820929986934	1.90086300253636335e-09	0.5	984550.56287433079	71691.9534750500898	3	-1383017.7852898587	6.08928547225753469	58960.3288676915836	2.03065852231813036e-09	0.5	597734.690293548047	75507.7148943397915	4	-1308879.32386055542	6.07444736358633719	49912.1498693045869	2.53105117865816761e-09	0.5	990785.048425473738	139860.441223152942	5	-1432635.90373658063	6.10426896694431242	48629.5676663087361	1.86164639211709736e-09	0.5	982780.123444214463	109422.377095905089	6	-2158905.97207168536	6.05791359966628207	212347.430159513082	3.48718083547745738e-09	0.5	999786.459784087259	157661.32486534075	7	-3135857.74189833924	6.12069776023546908	256978.900224755402	3.49356512535171809e-09	0.5	999520.454105928424	94865.3244173921994	8	-1460580.36600639462	6.11403258913450287	38898.904819135154	2.94865627293126687e-09	0.5	972336.344123847433	98766.0458458384674
800	-14982928.6860095151	-60.5324316149041266	8	25.8929658742509829	0	-1089758.29136431334	6.01514368544461675	159503.839428510953	1.78343693356643302e-09	0.5	915306.919536670553	183486.922278024547	1	-1525266.5906230968	6.12571737902498903	197257.456352455396	3.49886757033458511e-09	0.5	999634.795653147856	89858.3910665982985	2	-1488038.33943681	6.14410060529967339	34819.4529816778377	1.9648711479189476e-09	0.5	985122.594540948863	70444.14004389412	3	-1383015.93939790688	6.10840530884553878	48923.1441679552881	2.05728499187257959e-09	0.5	704843.643743044348	75561.5574815741566	4	-1308873.48200517637	6.08111664143076958	45232.683575665229	2.71380153980757474e-09	0.5	991189.229063251521	133306.979496181331	4	-1432636.47190942732	6.1018654196921851	45232.683575665229	1.90538120424484219e-09	0.5	954423.104152577696	108559.118038055458	5	-2158907.35585401021	6.05931134626849222	220600.851306178112	3.48718083547745738e-09	0.5	999786.459784087259	156263.876738242776	6	-3135857.71918409783	6.12142732243841081	257025.981012877135	3.49356512535171809e-09	0.5	999520.454105928424	94136.1120730098773	7	-1460574.49623467866	6.11570172099875364	37597.9759601035985	3.01630436961858893e-09	0.5	974736.714052008349	97382.901736076441
900	-14982903.0798047893	-58.9185900212375984	8	8.4862344788638211	0	-1089758.68012669217	6.00958116048673041	135393.313833808905	1.95400935598308108e-09	0.5	828346.028019801714	170662.010153259645	1	-1525266.29716766719	6.12818935076659876	201486.177728308132	3.49886757033458511e-09	0.5	999634.795653147856	87387.322099814337	2	-1488035.35976585094	6.14604393078701605	33469.5161853367899	2.03844601253721889e-09	0.5	991391.785599403665	68965.8403921796707	3	-1383013.79491992085	6.11040544796780338	51856.3511756969165	2.04589583697869863e-09	0.5	726982.42353839078	76480.8415237156587	4	-1308868.21388353151	6.08551515563207346	39139.3078786830083	2.90747615282227365e-09	0.5	950113.683656229055	123603.560465784307	5	-1432637.06050163275	6.09867127241284201	46643.1968894533784	1.8851091710189539e-09	0.5	944302.436202953453	110424.202148692479	6	-2158901.47889311658	6.05661399136342382	210662.475356613577	3.49863419301627998e-09	0.5	999786.459784087259	158960.655649561406	7	-3135857.55712668225	6.12080275431567422	256164.792088974995	3.49356512535171809e-09	0.5	999520.454105928424	94760.3806866673258	2	-1460564.6374196948	6.12117641023237447	33469.5161853367899	3.15626119560496523e-09	0.5	998844.223416319699	94323.0460111620487
