parameter	burnin	psrf	ess_concat	ess_0	ess_1
ln_likelihood	1	0.999687882853	2023.30989382	1063.55776454	869.367097073
concentration	1	1.00197266698	617.402668635	441.424937485	344.888398895
ln_likelihood_Att_bol	1	0.999762190406	2429.27652881	1180.73179843	1278.63045439
root_height_Att_bol	1	1.10708093462	73.9041023947	54.7330997695	45.9607703624
mutation_rate_Att_bol	1	1.10128712116	72.6433472712	52.3661714443	44.4220854881
pop_size_Att_bol	1	1.11672782585	70.7313540226	52.7973411852	44.1423733423
pop_size_root_Att_bol	1	1.11268733219	71.7639262664	53.711072842	44.2466410842
ln_likelihood_Cra_gut	1	0.999891407556	2781.39977792	1386.46754655	1336.29064035
root_height_Cra_gut	1	0.999668405817	2591.2940646	938.511696837	1500.0
mutation_rate_Cra_gut	1	0.999747994529	2034.27030742	954.453114109	1137.70213251
pop_size_Cra_gut	1	1.00009712454	2832.75315486	1462.64892017	938.510453338
pop_size_root_Cra_gut	1	0.999669056098	2624.72641025	1371.2551988	1316.06168784
ln_likelihood_Cra_vul	1	0.999748699464	1355.64884822	684.398843417	646.022570521
root_height_Cra_vul	1	1.00159306607	210.97211058	86.4616443126	175.593575101
mutation_rate_Cra_vul	1	1.00252200191	213.076585805	96.1956125586	142.228418274
pop_size_Cra_vul	1	1.00111314343	765.125634264	571.791988983	327.901322934
pop_size_root_Cra_vul	1	1.00010571731	259.806117229	125.955523791	171.95019006
ln_likelihood_Fur_min	1	1.00010736399	1842.21417971	932.312888868	706.699439083
root_height_Fur_min	1	1.0025038152	73.9656677511	52.5824490855	43.1132095923
mutation_rate_Fur_min	1	0.999710624398	72.3802218848	49.1839640842	43.9846093603
pop_size_Fur_min	1	1.00087898012	86.7053003689	59.3182833867	52.6530086232
pop_size_root_Fur_min	1	1.00017681946	75.5320078733	57.4923683919	43.2667284776
ln_likelihood_Kni_ore	1	0.999754437564	1060.22048542	568.605510599	406.564897885
root_height_Kni_ore	1	0.999758965602	525.428300275	215.081696052	283.534431755
mutation_rate_Kni_ore	1	0.999707560924	324.67334253	133.020285828	175.300222071
pop_size_Kni_ore	1	0.999791839968	1731.08304478	1016.41267435	815.197753312
pop_size_root_Kni_ore	1	0.999743776782	426.32744168	191.937883369	215.372074373
ln_likelihood_Maz_pro	1	0.999720673938	2132.36001036	1040.41227641	1027.64835011
root_height_Maz_pro	1	0.999806412216	132.686421452	60.78204621	168.097588796
mutation_rate_Maz_pro	1	1.00558157485	126.534813667	65.7811816081	116.029049158
pop_size_Maz_pro	1	1.00229977087	188.206056555	91.7458625302	142.333322398
pop_size_root_Maz_pro	1	1.00057926238	133.251909859	66.1777931737	125.828160367
ln_likelihood_Myi_fla	1	0.99968614629	1896.33042416	1128.13582962	828.154723452
root_height_Myi_fla	1	0.999773760566	2268.91496019	1000.03988746	870.94820172
mutation_rate_Myi_fla	1	0.999666635756	1405.90311746	742.807144753	697.9510652
pop_size_Myi_fla	1	1.00001873115	1738.41251261	836.17714059	1500.0
pop_size_root_Myi_fla	1	0.999771072508	1788.45231898	1016.01490603	777.331015831
ln_likelihood_Nas_lon	1	0.999670300129	2155.55716261	1157.9945766	908.09828675
root_height_Nas_lon	1	0.999666952206	2110.95805244	1500.0	847.164792999
mutation_rate_Nas_lon	1	1.00002539187	1096.12824835	249.068187459	580.408129131
pop_size_Nas_lon	1	1.00024406289	2231.04666798	1110.55316898	704.557897093
pop_size_root_Nas_lon	1	0.999711342144	1852.23284921	1209.01835537	810.94119428
ln_likelihood_Sti_nap	1	0.999697487428	1387.12663224	639.277458616	742.57619005
root_height_Sti_nap	1	0.999723135985	626.429295556	273.670763454	351.370213868
mutation_rate_Sti_nap	1	0.999762303616	447.920058941	202.463257011	262.089373717
pop_size_Sti_nap	1	0.999674790208	1818.29294465	889.237352513	761.626005243
pop_size_root_Sti_nap	1	0.999823454188	705.977410532	338.773644169	438.337528448
ln_likelihood	200	0.999623402624	1355.19148001	554.486810914	663.362546973
concentration	200	1.0069520605	769.696529215	430.865679143	596.244046572
ln_likelihood_Att_bol	200	0.999615659273	1804.76166197	1014.7239013	1070.07945856
root_height_Att_bol	200	1.08838257624	64.6393588498	51.2160520994	41.7621010939
mutation_rate_Att_bol	200	1.08174865114	64.4726574133	49.076112516	40.8054677966
pop_size_Att_bol	200	1.09644597854	62.1478523903	48.7720344241	39.8423492744
pop_size_root_Att_bol	200	1.09637236522	61.961079534	48.6878260456	39.8632883269
ln_likelihood_Cra_gut	200	0.999839015239	2004.08074609	898.816328093	956.744692102
