model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,3,3,4,5,3	0.714066	0.714066	0.000181	13794.8
0,1,2,3,3,4,5,6,3	0.0818601	0.795926	0.000484	184.123
0,1,2,3,4,4,5,6,4	0.0737894	0.869716	0.000448	177.751
0,1,2,3,3,3,1,4,3	0.0280553	0.897771	3.5e-05	824.69
0,1,2,3,4,3,5,6,4	0.0261337	0.923905	0.000222	120.852
0,1,2,3,4,3,5,6,3	0.0130669	0.936972	0.000417	31.7371
0,1,2,3,4,5,6,7,4	0.0130669	0.950038	0.002416	5.46684
0,1,2,3,3,3,4,5,6	0.0126826	0.962721	0.000491	26.149
0,1,2,3,3,4,5,6,4	0.00691776	0.969639	0.000226	30.8158
0,0,1,2,2,2,3,4,2	0.00614912	0.975788	3e-05	206.233
0,1,2,3,4,4,5,6,3	0.00422752	0.980015	0.000239	17.7592
0,1,2,3,4,4,5,6,7	0.00345888	0.983474	0.002375	1.45795
0,1,2,3,4,5,6,7,3	0.00345888	0.986933	0.002324	1.49002
0,1,2,3,3,4,1,5,3	0.00307456	0.990008	6.1e-05	50.555
0,1,2,3,4,5,6,7,5	0.00307456	0.993082	0.002215	1.38926
0,1,2,3,3,4,5,6,7	0.00269024	0.995772	0.002341	1.14959
0,1,2,3,4,4,1,5,4	0.00230592	0.998078	6e-05	38.5185
0,1,2,3,4,5,6,7,8	0.00115296	0.999231	0.033818	0.0329781
0,1,2,3,3,4,1,5,4	0.00038432	0.999616	3.8e-05	10.1172
0,1,2,3,4,5,1,6,5	0.00038432	1	0.000216	1.77956
